Rk,Name,Position,Age,Team,Games,GS,MinutesPlayed,FG,FGA,3P,3PA,2P,2PA,FT,FTA,OffensiveRebounds,DefensiveRebounds,Assists,Steals,Blocks,Turnovers,Fouls,PTS
141,Ayo Dosunmu,SG,22,CHI,54,20,25.9,3.2,6.2,0.9,2.3,2.3,3.9,0.8,1.1,0.3,2.5,3.1,0.7,0.4,1.2,2.2,8.1
143,Devon Dotson,PG,22,CHI,11,0,7.7,1.0,2.1,0.2,0.8,0.8,1.3,0.5,0.8,0.1,0.7,1.4,0.1,0.0,0.5,1.0,2.6
145,Jeff Dowtin,PG,24,GSW,4,0,7.0,0.8,1.5,0.0,0.3,0.8,1.3,0.0,0.0,0.3,1.5,0.8,0.0,0.3,0.3,0.5,1.5
146,PJ Dozier,SG,25,DEN,18,0,18.9,2.0,5.5,0.8,2.7,1.2,2.8,0.6,0.7,0.8,2.7,1.6,0.6,0.3,0.7,1.8,5.4
147,Goran Dragi?,PG,35,TOR,5,2,18.0,2.6,6.8,0.8,2.8,1.8,4.0,2.0,2.0,0.4,2.4,1.8,1.0,0.2,0.2,1.6,8.0
148,Andre Drummond,C,28,PHI,49,12,18.4,2.6,4.9,0.0,0.0,2.6,4.8,0.9,1.7,2.8,6.1,2.0,1.1,0.9,1.6,2.5,6.1
149,Chris Duarte,SG,24,IND,50,38,28.7,5.0,11.5,1.7,4.8,3.3,6.7,1.7,2.1,0.7,3.4,2.2,1.0,0.2,1.7,1.7,13.4
150,David Duke Jr.,PG,22,BRK,18,7,16.2,1.9,5.2,0.5,1.8,1.4,3.4,0.9,1.1,1.6,1.8,0.8,0.7,0.3,0.4,1.7,5.3
151,Kevin Durant,PF,33,BRK,36,36,36.5,10.5,20.3,1.9,5.0,8.7,15.3,6.3,7.1,0.6,6.9,5.8,0.8,0.9,3.0,1.9,29.3
153,Anthony Edwards,SG,20,MIN,53,53,34.6,7.8,18.0,3.1,8.7,4.8,9.3,3.1,4.0,0.9,3.9,3.6,1.5,0.7,2.8,2.3,21.9
154,Kessler Edwards,SF,21,BRK,27,19,24.9,2.6,6.5,1.1,3.3,1.5,3.2,0.3,0.4,1.0,3.3,0.6,0.8,0.6,1.1,2.0,6.7
156,CJ Elleby,SF,21,POR,35,7,15.1,1.6,4.1,0.5,1.8,1.1,2.3,0.6,0.7,0.9,2.1,1.1,0.5,0.2,0.5,1.6,4.3
157,Wayne Ellington,SG,34,LAL,35,9,18.9,2.1,5.3,1.9,4.8,0.2,0.5,0.1,0.1,0.3,1.5,0.7,0.5,0.1,0.4,1.0,6.1
158,Joel Embiid,C,27,PHI,45,45,32.8,9.4,19.2,1.3,3.6,8.1,15.6,9.1,11.2,2.0,9.1,4.5,1.0,1.5,2.9,2.6,29.3
160,Drew Eubanks,C,24,SAS,49,9,12.1,1.7,3.2,0.0,0.2,1.7,3.1,1.2,1.6,1.3,2.7,1.0,0.3,0.6,0.9,1.2,4.7
161,Tacko Fall,C,26,CLE,11,1,5.4,0.5,1.1,0.0,0.0,0.5,1.1,0.2,0.6,0.6,1.5,0.2,0.0,0.5,0.3,0.3,1.1
162,Derrick Favors,C,30,OKC,38,17,16.7,2.4,4.7,0.1,0.4,2.4,4.3,0.4,0.6,1.5,3.2,0.6,0.4,0.3,0.2,1.6,5.3
163,Bruno Fernando,C,23,BOS,20,0,2.9,0.4,0.7,0.1,0.1,0.3,0.7,0.2,0.3,0.4,0.4,0.2,0.0,0.2,0.3,0.3,1.0
164,Dorian Finney-Smith,PF,28,DAL,57,57,32.8,3.7,8.5,1.9,5.1,1.8,3.3,0.8,1.2,1.6,3.2,1.9,1.2,0.5,1.1,2.3,10.1
165,Malik Fitts,PF,24,UTA,7,0,5.0,0.3,1.3,0.3,0.6,0.0,0.7,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.3,0.4,0.9
166,Malachi Flynn,PG,23,TOR,34,1,9.0,1.1,3.1,0.5,1.6,0.6,1.5,0.2,0.3,0.2,0.9,1.1,0.4,0.1,0.3,0.9,2.9
167,Bryn Forbes,SG,28,SAS,40,1,16.9,3.2,7.4,1.6,3.8,1.6,3.6,1.1,1.2,0.1,1.5,1.0,0.4,0.1,0.8,1.1,9.1
167,Bryn Forbes,SG,28,DEN,15,0,20.1,3.9,8.7,1.8,4.2,2.1,4.5,0.9,1.0,0.1,1.0,1.1,0.2,0.1,0.7,1.7,10.6
168,Aleem Ford,SF,24,ORL,5,0,14.8,1.2,4.0,0.4,3.0,0.8,1.0,0.0,0.0,0.4,2.6,0.4,0.2,0.0,0.8,1.4,2.8
169,Trent Forrest,PG,23,UTA,46,4,12.2,1.3,2.4,0.1,0.4,1.2,2.0,0.6,0.8,0.4,1.3,1.5,0.5,0.1,0.8,0.7,3.2
170,Evan Fournier,SG,29,NYK,57,57,29.5,5.2,12.3,3.0,7.6,2.2,4.8,1.1,1.5,0.5,2.4,1.9,1.0,0.3,1.4,2.1,14.5
171,De'Aaron Fox,PG,24,SAC,48,48,34.4,8.2,17.6,1.0,3.8,7.1,13.8,4.4,5.9,0.5,3.4,5.1,1.1,0.4,2.8,2.9,21.8
172,Tim Frazier,PG,31,ORL,10,3,20.0,1.3,4.3,0.6,1.7,0.7,2.6,0.5,0.9,0.5,1.4,3.3,0.3,0.1,1.3,2.4,3.7
173,Enes Freedom,C,29,BOS,35,1,11.7,1.5,2.8,0.1,0.1,1.4,2.6,0.7,0.8,1.7,2.8,0.2,0.1,0.4,0.6,1.2,3.7
174,Wenyen Gabriel,PF,24,LAC,6,0,7.7,0.8,2.2,0.3,0.8,0.5,1.3,0.3,0.7,0.8,1.5,0.3,0.2,0.3,0.5,1.8,2.3
175,Daniel Gafford,C,23,WAS,48,46,20.6,3.8,5.6,0.0,0.0,3.8,5.6,1.4,1.8,2.3,3.8,1.0,0.4,1.5,0.9,2.4,8.9
176,Danilo Gallinari,PF,33,ATL,47,4,23.4,3.3,7.9,1.6,4.0,1.7,3.9,2.3,2.6,0.6,3.8,1.4,0.5,0.2,0.6,1.4,10.6
177,Langston Galloway,SG,30,BRK,4,0,14.5,1.3,3.3,0.5,2.0,0.8,1.3,0.0,0.0,0.3,1.8,1.3,0.0,0.0,1.3,1.3,3.0
178,Darius Garland,PG,22,CLE,47,47,34.6,7.8,16.3,2.6,6.8,5.2,9.5,2.2,2.4,0.5,2.8,8.0,1.2,0.1,3.7,1.7,20.3
179,Marcus Garrett,SG,23,MIA,12,0,10.7,0.4,1.8,0.1,0.3,0.3,1.4,0.2,0.4,0.8,1.2,0.6,0.4,0.3,0.2,1.3,1.1
180,Usman Garuba,PF,19,HOU,15,0,7.0,0.5,1.6,0.1,0.9,0.4,0.7,0.1,0.1,0.6,1.7,0.5,0.5,0.4,0.2,0.6,1.3
181,Luka Garza,C,23,DET,29,5,11.7,1.9,4.3,0.5,1.4,1.4,2.9,0.9,1.4,1.7,1.3,0.6,0.3,0.1,0.6,1.7,5.2
182,Rudy Gay,PF,35,UTA,35,1,20.0,3.1,7.3,1.4,4.1,1.7,3.2,1.4,1.8,1.0,3.6,1.1,0.6,0.3,0.9,1.9,8.9
183,Paul George,SF,31,LAC,26,26,35.5,9.0,21.4,2.7,8.3,6.3,13.0,4.0,4.5,0.4,6.7,5.5,2.0,0.4,4.2,2.5,24.7
184,Taj Gibson,C,36,NYK,39,4,18.3,1.5,2.9,0.2,0.6,1.3,2.4,0.6,0.8,1.6,2.8,0.6,0.4,0.8,0.6,2.8,3.9
185,Josh Giddey,SG,19,OKC,53,53,31.4,5.2,12.4,1.1,4.0,4.1,8.4,1.0,1.5,1.8,6.0,6.4,0.9,0.4,3.2,1.6,12.4
186,Shai Gilgeous-Alexander,PG,23,OKC,43,43,34.6,7.8,18.3,1.6,5.6,6.2,12.7,5.6,6.9,0.7,4.0,5.5,1.1,0.8,2.4,2.3,22.7
187,Anthony Gill,PF,29,WAS,25,0,8.3,1.2,1.8,0.2,0.4,1.0,1.5,0.7,1.0,0.7,0.8,0.4,0.1,0.2,0.4,1.4,3.2
188,Freddie Gillespie,PF,24,ORL,9,2,13.2,1.0,2.4,0.0,0.1,1.0,2.3,0.3,0.8,1.4,2.6,0.6,0.3,1.0,0.6,2.0,2.3
189,Rudy Gobert,C,29,UTA,44,44,32.1,5.6,7.9,0.0,0.0,5.6,7.8,4.5,6.5,3.5,11.3,1.2,0.8,2.3,1.8,2.7,15.7
190,Brandon Goodwin,PG,26,CLE,16,3,15.9,2.1,5.3,0.8,2.0,1.3,3.3,0.4,0.9,0.4,1.9,3.1,1.0,0.0,1.1,1.4,5.3
192,Aaron Gordon,PF,26,DEN,53,53,31.8,5.6,10.9,1.2,3.5,4.5,7.4,2.1,2.8,1.7,4.1,2.6,0.7,0.5,1.8,1.9,14.5
193,Eric Gordon,SG,33,HOU,47,36,29.7,5.0,10.5,2.3,5.4,2.8,5.1,1.9,2.6,0.3,1.7,3.0,0.5,0.4,2.0,1.1,14.3
194,Devonte' Graham,PG,26,NOP,54,54,30.8,4.3,12.0,2.8,8.2,1.5,3.8,1.6,1.9,0.5,2.0,4.5,0.9,0.1,1.6,1.4,13.0
195,Jerami Grant,PF,27,DET,33,33,32.2,6.3,15.1,1.8,5.2,4.5,9.9,4.7,5.6,0.7,3.6,2.5,1.0,1.1,2.0,2.2,19.0
196,Hassani Gravett,PG,25,ORL,8,3,21.4,2.3,4.8,1.4,3.3,0.9,1.5,0.4,0.5,0.1,2.5,2.5,0.6,0.1,1.1,1.6,6.3
197,Danny Green,SF,34,PHI,39,25,23.3,2.3,5.6,1.8,4.7,0.5,0.9,0.2,0.3,0.5,2.0,1.0,1.1,0.7,0.9,1.7,6.5
198,Draymond Green,PF,31,GSW,34,34,29.9,3.2,5.9,0.4,1.2,2.8,4.7,1.2,2.0,1.1,6.4,7.4,1.4,1.2,3.1,2.8,7.9
199,Jalen Green,SG,19,HOU,42,42,30.4,4.8,12.5,1.9,6.1,2.9,6.4,3.0,3.7,0.4,2.8,2.3,0.6,0.2,2.3,1.6,14.4
200,JaMychal Green,PF,31,DEN,45,7,14.9,2.3,5.0,0.6,2.2,1.7,2.8,1.2,1.4,1.0,2.7,0.8,0.7,0.4,0.9,2.2,6.3
201,Javonte Green,SF,28,CHI,42,31,24.2,2.8,5.2,0.5,1.5,2.3,3.7,1.5,1.8,1.6,2.8,1.1,0.9,0.5,0.6,2.1,7.6
202,Jeff Green,C,35,DEN,54,42,24.5,3.7,7.3,0.8,2.4,3.0,4.9,2.1,2.6,0.6,2.6,1.2,0.3,0.4,0.9,2.1,10.4
203,Josh Green,SG,21,DAL,43,1,14.1,1.8,3.6,0.3,0.9,1.5,2.7,0.6,0.8,0.7,1.4,1.3,0.7,0.2,0.5,1.7,4.5
204,Blake Griffin,PF,32,BRK,47,24,18.4,2.6,6.1,0.7,2.7,1.9,3.3,1.1,1.4,1.2,3.2,2.0,0.6,0.3,0.5,1.8,6.8
205,Quentin Grimes,SG,21,NYK,39,6,17.8,2.3,5.4,1.7,4.3,0.6,1.1,0.3,0.4,0.6,1.4,1.0,0.7,0.3,0.6,1.5,6.5
206,Kyle Guy,SG,24,MIA,15,0,11.7,1.7,4.0,0.9,2.3,0.8,1.7,0.5,0.7,0.1,0.7,1.1,0.5,0.1,0.8,0.8,4.9
207,Rui Hachimura,PF,23,WAS,17,0,17.8,3.1,6.9,0.9,2.2,2.1,4.7,1.2,1.5,0.4,3.1,1.0,0.5,0.3,0.7,0.9,8.2
